209887834.41,SZ300409,153182119.84,3712014042.99,3712014042.99,867771463.91,道氏技术,2017-12-31,0,1695623357.79,1854487546.39,1857526496.6,565247375.28,6.221E7,1457186608.44,411542069.88,41342701.11,21404730.44,2433812.9,2486789464.26,1857526496.6,234716303.04,0.0
141075878.32,SZ300409,148482310.6,3394607166.1,3394607166.1,644434421.18,道氏技术,2017-09-30,0,1109757908.58,1774750324.82,1619856841.28,422961631.93,4.661E7,1158334799.88,375756435.46,36167977.3,18627852.98,,2261214249.35,1619856841.28,161938354.51,0.0
72902244.37,SZ300409,149274371.74,3310938802.52,3310938802.52,629616355.33,道氏技术,2017-06-30,0,433394334.55,1696392720.83,1614546081.69,418342201.57,2.152E7,1207052254.07,332914834.77,36167977.3,15799055.07,,2252515920.62,1614546081.69,80714016.35,0.0
19101210.56,SZ300409,117581668.37,1911434316.94,1911434316.94,321886588.71,道氏技术,2017-03-31,0,138116278.37,1212497745.05,698936571.89,213564139.51,9310000.0,569387260.67,281510695.6,36167977.3,14708102.09,,1133095719.39,698936571.89,22060324.19,0.0
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
8882740.64,SZ002522,109243470.41,2945513786.69,2945513786.69,450427323.28,浙江众成,2018-06-30,5.03,483052636.09,2039641243.36,905872543.33,1251952078.99,1.305E7,505037650.94,159621814.43,77723051.88,4754251.02,711074.24,1262582604.31,905872543.33,15505759.06,90577.94
7685998.3,SZ002522,109554656.52,2965824214.76,2965824214.76,424152705.93,浙江众成,2018-03-31,0,225854665.25,2090417836.36,875406378.4,1265925917.74,6130000.0,458656714.52,200452624.57,77723051.88,4440919.31,0,1311208091.5,875406378.4,10299733.73,90577.94
25163491.15,SZ002522,107292439.37,2934323776.85,2934323776.85,406728500.92,浙江众成,2017-12-31,0,635085675.75,2084476440.49,849847336.36,1288215887.14,2.147E7,569946892.43,188969713.56,77723051.88,4442896.06,890983.83,1307688394.27,849847336.36,43265166.2,90577.94
50431268.44,SZ002522,103365609.61,2687680892.22,2687680892.22,366562106.49,浙江众成,2017-09-30,0,463945181.16,1931441264.78,756239627.44,895969247.29,1.461E7,500819463.11,196961675.78,67664212.96,3404849.1,725461.6,1128644785.86,756239627.44,64032035.97,88328.22
32355584.4,SZ002522,103974860.27,2474177350,2474177350,131244302.97,浙江众成,2017-06-30,0,307546557.36,1914332409.94,559844940.06,646827734.36,9530000.0,304032025.73,172587837.13,67664212.96,3456508.39,460793.36,999652286.88,559844940.06,40782165.99,90577.94
14855764.22,SZ002522,104584217.46,2569427847.35,2569427847.35,129384105.54,浙江众成,2017-03-31,0,147149547.54,1988276589.49,581151257.86,657663389.52,4540000.0,343121593.53,240712673.11,67664212.96,2879313,493307.12,1149891227.05,581151257.86,18832926.81,88328.22
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
112808092.87,SZ300073,21434421.79,4727225445.32,4727225445.32,295326883.03,当升科技,2018-06-30,23.49,1629835788.8,3113435131.73,1613790313.59,443628593.64,1.865E7,1466429308.27,440057827.82,35526619.05,9704424.76,550417.6,3719930673.19,1613790313.59,131069973.69,43672.28
39076551.89,SZ300073,21808702.49,4514950159.79,4514950159.79,333898697.96,当升科技,2018-03-31,0,670934486.48,3098211339.32,1416738820.47,455567506.33,6030000.0,1271732707.28,413914916.7,35526619.05,7177176.6,496467.54,3490918582.42,1416738820.47,45899311.95,36606.8
250174315.3,SZ300073,22182983.23,2723278155.72,2723278155.72,260188281.55,当升科技,2017-12-31,0,2157906138.76,1583546717.26,1139731438.46,468098065.15,4.049E7,1032214714.19,374838364.81,35526619.05,7026477.4,464367.68,1692366668.56,1139731438.46,295183014.33,36606.8
183336424.74,SZ300073,22459037.62,2828499589.54,2828499589.54,370717364.38,当升科技,2017-09-30,0,1435887522.97,1573032632.59,1255466956.95,317029969.91,2.261E7,1139933089.41,322262039.48,21265053.82,6468798.07,439144.61,1722266827.03,1255466956.95,219294646.95,36606.8
144923080.8,SZ300073,22837228.8,2718900250.01,2718900250.01,394027433.17,当升科技,2017-06-30,0,834877290.88,1489590851.11,1229309398.9,324953399.25,1.596E7,1117748014.04,283848695.54,21265053.82,5743950.02,740690.43,1665022385.99,1229309398.9,175174097.92,36606.8
19639204.21,SZ300073,23212279.97,2230460125.56,2230460125.56,318967550.17,当升科技,2017-03-31,0,313874683.98,1360539495.12,869920630.44,335698881.66,7440000.0,763641637.08,178698561.15,21265053.82,5874711.52,1167328.1,1348929771.64,869920630.44,22932299.74,18303.4
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
177500832.99,SZ000988,273364422.4,8714060126.86,8714060126.86,1313648934.43,华工科技,2018-06-30,15.1,2741690895.27,5496104861.07,3217955265.79,1154705537.84,2.31E8,3074958628.07,1664591894.31,94211550.66,61479520.27,1345334.15,6685774210.74,3217955265.79,220222637.79,100550.27
59614366.42,SZ000988,283030579.89,8863755596.92,8863755596.92,1205197165.73,华工科技,2018-03-31,0,1264318630.11,5383293524.96,3480462071.96,1188611464.09,1.07E8,3343162203.34,1574883063.3,94211550.66,60454155.28,2213469.23,6791080851.72,3480462071.96,77176762.69,100550.27
320643586.89,SZ000988,272644850.62,8578073521.73,8578073521.73,1052454753.09,华工科技,2017-12-31,0,4480552788.24,5319801739.74,3258271781.99,1201022951.1,3.38E8,3118322309.11,1514133784.56,94211550.66,58188200.81,1054032.73,6600177486.1,3258271781.99,380565325.43,100550.27
255835477.18,SZ000988,220760659.6,6678592190.93,6678592190.93,953559890.52,华工科技,2017-09-30,0,3293099564.72,3479886178.89,3198706012.04,1152153049.19,2.19E8,3045612766.45,1456015769.13,83097477,53113235.81,1395896.45,4759388432.39,3198706012.04,301330307.59,89111.66
179412078.36,SZ000988,226176431.76,6479839645.72,6479839645.72,952646665.01,华工科技,2017-06-30,0,2030934073.46,3409867666.22,3069971979.5,1161401945.08,1.32E8,2914291358.32,1377217028.48,83097477,51701550.25,1427250.76,4548299273.91,3069971979.5,205346819.17,89111.66
56347598.7,SZ000988,236675691.06,5962809683.85,5962809683.85,815067593.31,华工科技,2017-03-31,0,926883004.67,3310730353.71,2652079330.14,1154645782.74,5.167E7,2371505832.12,1287195160.73,83097477,47208135.25,6653972.6,4045608778.93,2652079330.14,65602206.74,89111.66
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
8021454.91,SZ002297,187571638.97,2217317555.77,2217317555.77,381548200.75,博云新材,2018-06-30,5.92,276543855.54,1539416914.15,677900641.62,426939614.99,1.138E7,621832079.68,-117360200.98,19940955.96,29786912.06,147650,1084460363.89,677900641.62,14232715.62,47131.5
10932782.44,SZ002297,188779701.19,2207213985.9,2207213985.9,353630116.76,博云新材,2018-03-31,0,142202002.93,1542325286.57,664888699.33,430334976.6,5490000.0,609479780.63,-114038850.63,19940955.96,30839314.11,135937.5,1074950579.79,664888699.33,13366685.51,47131.5
-65760579.42,SZ002297,193383473.62,2254489936.19,2254489936.19,347792639.13,博云新材,2017-12-31,0,544703596.01,1578786238.1,675703698.09,437217934.84,3.29E7,618700582.94,-122164163.25,19940955.96,30839716.65,250573.25,1130872853.95,675703698.09,-61366653.17,47131.5
-23050106.72,SZ002297,188553010.97,2296263079.62,2296263079.62,349558241.13,博云新材,2017-09-30,0,398783451.76,1631426710.8,664836368.82,432572353.75,2.27E7,605949696.22,-81641864.21,19940955.96,28811471.14,130500,1173695402.78,664836368.82,-18337020.79,47131.5
-10448860.3,SZ002297,184989357.19,2279715566.38,2279715566.38,344146664.79,博云新材,2017-06-30,0,268952454.11,1644027957.22,635687609.16,438694065.18,1.427E7,584530598.87,-71581610.4,19940955.96,27488457.96,130500,1169410072.05,635687609.16,-6069830.03,47131.5
-2651479.93,SZ002297,189418095.98,2451739503.45,2451739503.45,333340631.78,博云新材,2017-03-31,0,122344239,1651825337.58,799914165.87,447486571.14,5670000.0,746244107.68,-63363618.07,19940955.96,27557055.27,176021.14,1338204548.51,799914165.87,-865310.85,47131.5
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
240404702.28,SH600636,101157858.26,3288599580.48,3288599580.48,168364371.36,三爱富,2018-06-30,11.27,908568166.89,2846209019.27,442390561.21,222973610.48,3.414E7,424220706.69,724240865.17,91098672.72,33600503.28,1190262.28,1324007156.19,442390561.21,452305285.25,44694.19
67702956.82,SH600636,105540177.95,3251828677.74,3251828677.74,182735235.15,三爱富,2018-03-31,0,442851040.76,2668899553.77,582929123.97,233755679.43,1.91E7,563265984.81,550986758.59,91098672.72,35900172.06,7064780.64,1308100899.14,582929123.97,398429049.65,44694.19
155495877.28,SH600636,109991628.56,7338232555.57,7338232555.57,243137401.57,三爱富,2017-12-31,0,5243370096.09,3214624929.4,4123607626.17,231654240.72,9.722E7,4056168847.57,493864639.48,91098672.72,40292180.11,4736183.71,5408025911.31,4123607626.17,243510390.49,44694.19
220586677.75,SH600636,160959334.35,5058007296.05,5058007296.05,573551374.18,三爱富,2017-09-30,0,4151777636.74,3285055798.79,1772951497.26,1374039310.68,6.675E7,1657603944.88,566704986.46,91098672.72,23265454.21,2372049.56,2507606323.84,1772951497.26,288867418.7,44694.19
177985672.13,SH600636,162880751.98,5049187695.2,5049187695.2,633550972.99,三爱富,2017-06-30,0,2882245662.82,3242038716.96,1807148978.24,1406159382.09,4.365E7,1691945377.45,551257290.78,91098672.72,23265454.21,918471.52,2451339173.68,1807148978.24,227374648.8,44694.19
73213636.23,SH600636,164646257.3,4425046646.5,4425046646.5,542656410.59,三爱富,2017-03-31,0,1434215734.35,3137864764.78,1287181881.72,1418493284.56,1.969E7,1168296868.83,484149967.92,91098672.72,23319061.68,1556161.82,1863747350.59,1287181881.72,96977143.75,44694.19
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
159358431.71,SZ002564,254343205.18,26540431233.25,26540431233.25,8991453620.63,天沃科技,2018-06-30,5.89,3979685521.9,4344625262.24,22195805971.01,1764047529.36,2.853E7,20016373919.2,576038420.28,76966629.2,346529377.81,11994746.06,20801767949.32,22195805971.01,154864254.79,88291.44
-47344008.52,SZ002564,264831050.95,22817290550.47,22817290550.47,6691175836.34,天沃科技,2018-03-31,0,1187243020.09,3114364999.28,19702925551.19,1783150500.34,1.398E7,15705532114.75,418132189.19,76966629.2,316376967.13,45143945.65,17652585887.31,19702925551.19,-43832188.89,73576.2
320516629.07,SZ002564,271004750.6,22586717443.96,22586717443.96,7439201335.48,天沃科技,2017-12-31,0,10403683552.02,3159828343.04,19426889100.92,1836749735.13,8.975E7,15712893495.97,473044707.59,76966629.2,311608842.92,67058451.3,17454797991,19426889100.92,267201357.08,73576.2
295300089.6,SZ002564,349727728.22,19496156409.62,19496156409.62,5381645348.3,天沃科技,2017-09-30,0,9015430956.11,3130221616.72,16365934792.9,1888399504.31,6.023E7,12933159032.22,469352582.25,78869676.08,254314176.67,22411902.26,13984144226.82,16365934792.9,276613105.26,73576.2
144136456.84,SZ002564,351434457.18,19176079371.32,19176079371.32,6066788598.67,天沃科技,2017-06-30,0,6977752513.56,2928952410.54,16247126960.78,1907325495.16,3.537E7,13117682745.82,354122139.65,78869676.08,168487140.11,10182677.11,13989941520.51,16247126960.78,176762493.59,73576.2
48516340.22,SZ002564,359555108.71,18444685922.18,18444685922.18,5019545903.52,天沃科技,2017-03-31,0,3014428097.13,2830747772.97,15613938149.21,1950740490.54,2.388E7,11286905991.83,295942858.9,78869676.08,159525137.68,78730414.93,13425687030.95,15613938149.21,62686414.67,73576.2
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
15888115.75,SZ002012,40562697.33,1749227909.15,1749227909.15,262375422.1,凯恩股份,2018-06-30,5.92,542260038.73,1313452027.44,435775881.71,536833469.79,2.655E7,368530357.3,409244524.88,71333554.81,14910707.75,383401.46,963060806.77,435775881.71,19217058.36,46762.55
8111138.05,SZ002012,40847015.87,1760712304.18,1760712304.18,245523726.46,凯恩股份,2018-03-31,0,264738731.61,1305675049.75,455037254.43,562215978.34,1.252E7,387527728.63,404443954.68,71333554.81,16004454.48,392843.21,953016220.28,455037254.43,9781632.33,46762.55
41729444.79,SZ002012,41131334.41,1777385356.41,1777385356.41,254666394.06,凯恩股份,2017-12-31,0,1028390122.63,1297563911.69,479821444.72,568087816.31,5.316E7,412287543.92,398980150.41,71333554.81,16548785.73,400459.57,965370392.54,479821444.72,44766203.69,46762.55
31215980.11,SZ002012,44944633.24,1747512198.69,1747512198.69,236880851.67,凯恩股份,2017-09-30,0,719992667.33,1286956041.8,460556156.89,590574090.55,3.781E7,394440573.99,393250612.57,70575630.53,14118826.5,340734.23,915609555.55,460556156.89,35676219.32,46762.55
26571199.1,SZ002012,45275160.57,1738895279.09,1738895279.09,239725687.94,凯恩股份,2017-06-30,0,467590381.32,1282311260.79,456584018.3,608984424.35,2.548E7,390944060.4,390963020.27,70575630.53,13581343.93,789766.28,955584726.26,456584018.3,29484161.26,46762.55
20829067.78,SZ002012,41970064.12,1709851416.75,1709851416.75,243566759.1,凯恩股份,2017-03-31,0,219073616.93,1286610045.07,423241371.68,591930859.25,1.397E7,356148635.83,395687214.34,70575630.53,15075210.41,734942.51,912624820.83,423241371.68,22449806.45,46762.55
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
107021088.6,SH600155,92064914.27,39131142872.88,39131142872.88,35795778.22,华创阳安,2018-06-30,6.76,80606630.04,15297769330.48,23833373542.4,225153857.26,1240000.0,19062523634.82,-469081283.73,29463876.88,86585028.95,143794847.03,28403187427.73,23833373542.4,156129179.06,173955.66
67453996.42,SH600155,90949302.92,37466715115.09,37466715115.09,36819785.6,华创阳安,2018-03-31,0,42884024.78,15308488581.11,22158226533.98,229950328.94,713000.0,17801680463.38,-467282934.35,29463876.88,76073977.98,127410287.49,26561653737.59,22158226533.98,91693634.69,173955.66
137949255.81,SH600155,94251150.09,38388825463.21,38388825463.21,42863849.22,华创阳安,2017-12-31,0,350045419.06,15234180905.33,23154644557.88,233534994.7,1.136E7,19009627226.04,-532334322.82,29463876.88,119702447.79,93400328.82,27415251244.44,23154644557.88,204733142.82,173955.66
238558841.63,SH600155,97407491.7,41793523970.62,41793523970.62,36320871.34,华创阳安,2017-09-30,0,324927627.99,15424526957.24,26368997013.38,236363662.3,9760000.0,22413741028.04,-423279509.11,16210000.68,66550305.39,52835146.23,30353616867.7,26368997013.38,322855049.95,173955.66
156547450.17,SH600155,95382011,37553003883.28,37553003883.28,51388446.87,华创阳安,2017-06-30,0,247802235.08,15322266946.55,22230736936.73,239593631.41,6410000.0,20885767207.42,-502009273.17,16210000.68,73554025.21,39907238.41,25237780327.57,22230736936.73,212994123.11,173955.66
52221147.11,SH600155,73979874.36,33292251752.27,33292251752.27,52445062.61,华创阳安,2017-03-31,0,89582555.53,15203439178.47,18088812573.8,238048884.13,3180000.0,16747734730.8,-600043879.76,16210000.68,125027561.33,61218788.47,21362731871.93,18088812573.8,73016804.9,173955.66
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
78150994.12,SH603928,55824356.54,1432668732.85,1432668732.85,69404020.1,兴业股份,2018-06-30,13.89,755715309.46,1172160488.28,260508244.57,230330154.2,2.865E7,243614051.95,361677855.86,56665540.88,9140210.48,,948631298.51,260508244.57,92936531.95,20160.0
34983095.46,SH603928,51917719.89,1407590463.2,1407590463.2,76435469.57,兴业股份,2018-03-31,0,373519665.48,1171314348.52,236276114.68,231521489.48,1.336E7,218978120.23,360845957.2,56665540.88,9434729.96,,1052165470.03,236276114.68,41701088.86,20160.0
135493110.02,SH603928,52228589.88,1420728884.76,1420728884.76,91426156.29,兴业股份,2017-12-31,0,1282944281.46,1136291678.19,284437206.57,234297376.71,5.229E7,266735410.29,325862861.74,56665540.88,8638057.73,,1102968426.22,284437206.57,157690138.08,20160.0
92041791,SH603928,52540699.49,1359092834.61,1359092834.61,67590571.45,兴业股份,2017-09-30,0,889527195.95,1092869670.8,266223163.81,52918278.73,3.849E7,248643309.81,295866822.57,43210261.03,8337163.39,,1059297762.33,266223163.81,109178007.22,20160.0
48347581.41,SH603928,52852189.49,1242957181.63,1242957181.63,49581680.45,兴业股份,2017-06-30,0,519411211.14,1049142351.63,193814830,54300498.68,2.506E7,177688053.2,252172612.98,43210261.03,7480926.91,,962090489.43,193814830,57487077.02,20160.0
18714529.68,SH603928,53163679.49,1229595347.19,1229595347.19,54546408.39,兴业股份,2017-03-31,0,227047134.48,1059826748.01,169768599.18,55140345.12,1.1E7,153544899.58,262859561.25,43210261.03,7262256.83,,964028748,169768599.18,21260975.96,20160.0
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
290170679.75,SZ300285,138448169.51,4334084885.46,4334084885.46,444027588.76,国瓷材料,2018-06-30,18.24,789665620.56,3215563929.21,1118520956.25,831052123.33,2.8E7,928195690.46,811288019.7,68299167.63,6323831.76,,1692243704.43,1118520956.25,318952104.46,64222.74
78650656.45,SZ300285,117711761.2,3294787552.09,3294787552.09,343056122.59,国瓷材料,2018-03-31,0,323187251.14,2275658963.05,1019128589.04,714323331.44,8510000.0,850053858.77,636069389.42,68299167.63,4293520.57,,1497642630.5,1019128589.04,90860350.03,64222.74
259301679.39,SZ300285,117786845.39,3289090217.55,3289090217.55,311831615.83,国瓷材料,2017-12-31,0,1217619694.04,2152008306.58,1137081910.97,696194643.86,3.618E7,932712902.17,560743830.28,68299167.63,3876935.95,,1527912480.35,1137081910.97,294139297.61,59830.11
187348483.64,SZ300285,121166325.1,3156951331.67,3156951331.67,259341065.44,国瓷材料,2017-09-30,0,898572574.67,2071642586.77,1085308744.9,687330704.13,2.651E7,813474910.77,505829257.74,51718125.86,10124273.68,,1498803918.65,1085308744.9,216907950.15,29915.06
121890396.42,SZ300285,122235278.52,3339542526.8,3339542526.8,235576443.99,国瓷材料,2017-06-30,0,544614941.22,2006184499.55,1333358027.25,681391214.85,1.597E7,1304888833,445810503.08,51718125.86,10151213.96,,1671902782.55,1333358027.25,142046560.25,59830.11
47386054.91,SZ300285,83894643.25,2562688753.74,2562688753.74,226392002.64,国瓷材料,2017-03-31,0,210243208.32,1959172496.85,603516256.89,602949543.7,6520000.0,577955332.76,406809686.5,51718125.86,8933148.72,,1555396422.48,603516256.89,54974069.72,29915.06
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
28125123.61,SZ002395,68682751.53,1415206644.71,1415206644.71,366813517.34,双象股份,2018-06-30,11.63,664742031.64,984920412.36,430286232.35,261229801.22,5770000.0,418221987.17,213490164.65,30454521.44,5040570.76,66457.79,898484622.36,430286232.35,33688144.59,17880.6
9515296.45,SZ002395,69114755.91,1363717617.46,1363717617.46,374452697.71,双象股份,2018-03-31,0,285451444.45,966310585.2,397407032.26,268847062.49,2240000.0,393204105.27,201276328.7,30454521.44,5185859.98,73104.17,846049678.55,397407032.26,12868348.03,17880.6
30512812.33,SZ002395,69650008.2,1293420814.41,1293420814.41,301342661.93,双象股份,2017-12-31,0,1273442515.71,956795288.75,336625525.66,273497181,1.43E7,332204564.8,199026086.7,30454521.44,5357000.33,53166.67,786564149.18,336625525.66,37230339.42,17880.6
21376350.13,SZ002395,69978764.67,1323733744.06,1323733744.06,308341464.12,双象股份,2017-09-30,0,908691005.8,947658826.55,376074917.51,273042796.2,9760000.0,371435922.8,194548297.65,30454521.44,4842020.62,48333.33,830809732.92,376074917.51,27399853.64,17880.6
20272836.4,SZ002395,70410769.05,1289337669.12,1289337669.12,327131780.03,双象股份,2017-06-30,0,586032720.2,960859792.82,328477876.3,278062609.13,6190000.0,323620847.73,211696461.12,30454521.44,4746061.23,48333.33,820750990.11,328477876.3,24482349,17880.6
8184093.98,SZ002395,70842773.42,1259838603.36,1259838603.36,337947293.06,双象股份,2017-03-31,0,249260692.16,948771050.39,311067552.97,276322227.46,2920000.0,305992490.54,204143776.03,30454521.44,4705285.85,53166.67,798167532.18,311067552.97,10432147.18,17880.6
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
375338953.16,SH600872,209120099.86,5655551065.43,5655551065.43,1387028258.15,中炬高新,2018-06-30,27.84,2174000422.59,3682118474.28,1973432591.15,1201579669.09,2.2999999999999997E8,1045253820.52,1957672767.07,283740477.18,26701630.93,33098630.14,3461502758.58,1973432591.15,436917901.21,79663.72
186818500.82,SH600872,210519977.46,5444652626.48,5444652626.48,1388319521.47,中炬高新,2018-03-31,0,1153599668.7,3636891810.47,1807760816.01,1193119231.71,1.22E8,882070920.13,1931874803.61,283740477.18,29291548.23,19884931.5,3318114069.84,1807760816.01,213683495.62,79663.72
511404568.06,SH600872,211923542.08,5304762875.94,5304762875.94,1412956254.69,中炬高新,2017-12-31,0,3609371700.99,3450155650.06,1854607225.88,1213951191.04,4.26E8,908334166.59,1762095788.83,283740477.18,29879765.41,28843904.75,3116079240.66,1854607225.88,609177803.64,79663.72
399420569.34,SH600872,213334480.81,5239982328.58,5239982328.58,1371650115.51,中炬高新,2017-09-30,0,2728665535.9,3374464819.77,1865517508.81,1183660351.23,3.5E8,909060673.33,1762087131.56,185317471.02,26331200.39,15457534.25,3128075967.49,1865517508.81,472502370.22,79663.72
236970673.25,SH600872,214678618,5170604230.81,5170604230.81,1332426000.7,中炬高新,2017-06-30,0,1804226822.82,3212075270.31,1958528960.5,1175080959.95,2.41E8,992100748.83,1617949506.35,185317471.02,21989306.14,33098630.14,3055021794.25,1958528960.5,281639949.73,79663.72
131249399.09,SH600872,142148851.03,5002340120.01,5002340120.01,1309034398.59,中炬高新,2017-03-31,0,974197026.86,3220361450.03,1781978669.98,1195072838.24,1.28E8,815236819.53,1634110045.86,185317471.02,21894057.89,19884931.5,2936771469.5,1781978669.98,157225431.94,79663.72
净利润,公司代码,无形资产,资产总计,总资产,存货,公司名称,报告期,股票价格,营业收入,股东权益,总负债,固定资产,销售费用,流动负债,未分配利润,盈余公积金,递延所得税资产,应付利息,流动资产,负债总计,利润总额,总股本
48733347.77,SZ300034,38591572.25,1809177071.5,1809177071.5,408192015.99,钢研高纳,2018-06-30,10.41,345447493.51,1392044488.84,417132582.66,451443784.3,1030000.0,327271717.53,515628622.86,83077840.56,2803478.68,,1232170843.19,417132582.66,57312935.95,42223.62
21022398.89,SZ300034,38826146.53,1753276978.08,1753276978.08,379222788.61,钢研高纳,2018-03-31,0,161684215.11,1393560375.56,359716602.52,428603048.59,912000.0,267712716.97,519266580.4,83077840.56,2803478.68,,1172611331.55,359716602.52,24789564.22,42223.62
48965379.66,SZ300034,45465025.37,1898647696.99,1898647696.99,431782811.85,钢研高纳,2017-12-31,0,674910097.9,1421728493.01,476919203.98,455126314.93,6390000.0,345411083.15,498221018.8,83077840.56,5821885.5,638994.43,1287113590.12,476919203.98,53208088.79,42223.62
40646743.18,SZ300034,45865797.43,1790276809.4,1790276809.4,404252287.27,钢研高纳,2017-09-30,0,482721670.16,1410123356.44,380153452.96,458479095.73,4470000.0,260162194.21,488874678.85,77123065.79,3828385.6,,1201558370.73,380153452.96,49061862.57,42178.69
38770516.09,SZ300034,46302176.32,1802208705.24,1802208705.24,409725250.41,钢研高纳,2017-06-30,0,339393529.04,1407377854.15,394830851.09,464243497.37,3030000.0,283843483.04,484473077.61,77123065.79,3828385.6,,1190831769.3,394830851.09,46223038.56,42178.69
